name,number,num
A.T.R. GROUP LIMITED,1939827,6976245
AIRBAGS INTERNATIONAL LIMITED,1958326,4304279
APPLIED CORROSION MONITORING LIMITED,1964449,4521123
A.M.V. ENGINEERING LIMITED,1966899,4503274
APPH AVIATION SERVICES LIMITED,1969227,5178483
AMBROSE WOOD AND SON (QUEEN STREET) LIMITED,1971428,8158779
APPH LIMITED,1972451,7159428
ALBION EXTRUSIONS LIMITED,1984499,10518956
AIRFLOW REFRIGERATION SPACERS LIMITED,1988374,9339249
ALLIANCE SNOOKER LIMITED,2030991,7687806
ACCURATE WINDOWS LIMITED,2032074,2925827
ANGLO AMERICAN TAPE COMPANY LIMITED,2032077,9786103
ASHFIELD (UK) LIMITED,2034549,8583175
ARCHWOOD LIMITED,2037421,8970671
ADDVENT AIR SYSTEMS LIMITED,2043424,9071685
ALLIED INDUSTRIAL PRODUCTS LIMITED,2046872,9791202
ALLERMUIR LIMITED,2047963,4769909
ADVANCED PROTECTIVE PACKAGING LTD,2052369,11461520
ANORD CONTROL SYSTEMS (U.K.) LIMITED,2070632,10387088
ACMOS U.K. LTD.,2073610,8776147
ADHESIVE COATINGS LIMITED,2078275,10668940
A & E SUPPLIES LIMITED,2098549,8072188
ALAN GORDON ENGINEERING CO. LIMITED,2112664,2941418
APPH NOTTINGHAM LIMITED,2125837,9600023
ANGLO RECYCLING TECHNOLOGY LIMITED,2143970,7138605
AC PLASTICS LIMITED,2164843,7030548
AMIFLEX HOSE LIMITED,2166687,2782160
ASPULL HOLDINGS LTD.,2166852,10098247
ADPAK MACHINERY SYSTEMS LIMITED,2179444,3498267
A.M.J. LIMITED,2192422,11013152
ATLAS SHEDS LIMITED,2207055,8287086
A.C.P. (CONCRETE) LIMITED,2212402,10739176
AQUA FABRICATIONS LIMITED,2216332,8903035
A.D.S. GRAPHICS LIMITED,2233870,10868264
AEROLUX LIMITED,2251223,10314645
AFTER SALES SERVICES LIMITED,2256584,9589759
ASK TRADING LTD.,2259266,7312184
A1 SHUTTERS LIMITED,2323242,8058628
ANDREWS CONTINENTAL DELICACIES LIMITED,2336833,10623996
ARMER QUALITY COMPONENTS LIMITED,2358542,10665169
ARMORED AUTO UK LIMITED,2362589,10983037
AQUA GEOCOMPOSITES LIMITED,2371421,11385665
ACCESS DOOR SYSTEMS LIMITED,2372725,3633177
ARROW BUSINESS MACHINES LIMITED,2380141,4683115
ADVANCED ADMIXTURES LIMITED,2414960,6859685
ATLAS CONCRETE LIMITED,2421314,5393472
ANDREW TEXTILE INDUSTRIES LIMITED,2458598,10925408
ARDAGH METAL BEVERAGE UK LIMITED,2459095,7172813
