Engineering Company Number,Manufacturing Company Number
9912767,8899054
3074805,3350459
11225167,8088833
10129379,6174996
5477424,1191420
11276720,9028029
11771286,10277800
8796514,8014664
10520390,11245288
11673911,8896867
11677332,6235025
11792953,8962013
10778558,10802871
11452275,8785402
11528320,3415436
11048325,10897481
6212143,11551441
5230890,8679635
10958643,10265705
11505628,1758253
4398780,4043946
7305880,7667013
11376229,2764368
11194070,10603665
6210248,8316151
9442619,9920608
7549252,11457384
6256920,11469566
11265229,7979944
11639788,9691560
5397766,11103688
5723411,2073610
2969483,9246672
7269820,11368962
6327352,3934046
11559112,7759589
3279725,4689785
5715280,4037635
11248125,8781306
10183498,11480212
11196007,11351890
11664636,5441232
11542143,5583187
11581193,9939243
11594047,8007609
11267421,5582982
10440346,728049
11319085,6820758
11550769,7057048
7618883,11219683
11577465,11488296
11409723,11488306
10275088,11472140
4324217,539360
4465457,8618190
5451292,11612834
3505975,11334925
6915075,3442946
4469051,7414168
11661581,4451287
3353405,3229919
11546455,4696267
8064369,11381352
6377079,8881983
6253566,8882222
10934360,8235770
6045606,5036241
8578568,4632511
11784565,6222441
11311428,11445418
11655678,9437121
10836059,9941083
6224615,11643042
11410983,7685901
11238777,11671008
11507806,3814338
6110851,7421002
3588386,367171
10275967,11626029
11287923,11704243
7902191,9816376
7540506,9903898
11352766,5782662
9660692,9961601
11308036,11614800
11496430,7763133
10606335,7707074
7074474,1657977
8286078,6111673
11164948,4062165
7690046,7838874
6281183,8223658
5299921,10078054
8499828,7503514
11493790,5021489
8211057,7980071
10866182,2043424
313803,10977604
11547388,10512573
6216234,10990984
7739992,915239
11469848,8250877
10910643,6455481
6825785,8257933
11348559,4940346
11367540,5150610
11306856,1122942
11311337,8551806
11454195,11448602
11342902,5045514
10196775,11414342
7855428,10980925
11318187,2179444
4423411,8026499
7975011,11525069
11757286,10894818
6990095,9543782
4981428,11399347
6971846,11525935
9113216,11527911
11567517,11340854
3575026,2769258
8852508,11096879
11559780,10892392
10587199,5753345
10727530,9221999
11188356,7137118
9586185,8290346
11777481,10953609
11464636,2414960
8913915,3917296
11682113,2771476
5740504,2456077
10745482,3687619
9038567,11384083
1482257,7551180
8629970,11739734
10543800,10847045
9293223,3565249
11342542,2279718
8714615,1921074
11048047,4300336
11332126,2666957
10951301,4600686
11319469,11050583
11618024,10876922
6075941,8767835
9908109,8690277
8781805,10042075
8925990,7373594
10825561,8965315
10678877,8689137
8174817,2052369
11238306,6039596
11435252,6735887
11445576,4626038
11784966,2771911
11424270,11323506
11521326,9370693
11734127,8686580
10942925,4678253
9816020,4912035
11689340,7260262
11480730,10589549
11186264,8829946
9968833,10857809
8574382,8290174
8614315,11693791
11315892,7345399
9747600,11642470
11592388,8372066
11286494,10949254
11430975,11538248
11344214,4858239
8177808,9316980
5660926,4946408
11767281,10953871
11133210,11396380
11666380,11459301
6260843,11384430
10899516,10633311
11354010,8337076
10962578,7928622
11259841,8206951
10086405,8789020
5759543,9538460
7467440,11396304
11466970,2251223
10942794,11335073
9306060,9011505
8857456,9256293
11437600,5262043
8003972,2909223
971136,10719290
11392663,7875153
11686731,4140648
11571824,11355802
11797118,10147284
11416749,9664937
6302175,7105118
11546070,8683787
11045373,10985954
8133872,8968864
2520740,8836740
11108335,9630866
11714662,8204406
10650226,8886797
8895195,5259304
6811835,11745502
6021633,6295904
5852198,4830917
9870627,11563397
11622462,11219544
3016164,11103295
5188491,936177
11558942,5117150
7021803,2256584
10104566,11564144
7243821,9535064
11704788,8572095
8263255,10806356
2374805,7250065
11293725,2857586
7647207,8131414
1629153,9948224
9386462,3825057
11638226,11062702
3435638,6481784
11199972,11169674
11006568,8492822
9020191,10962536
8892203,11348986
7651774,4605183
7651800,11494818
11230490,5803830
11723917,11680225
9060577,6432145
7490258,7453477
11718087,10528867
9301439,3656076
2004126,9343705
8424798,4767674
10156305,11525108
11576475,3604296
10825080,8949283
10074225,7694920
9843459,9604253
11781128,11680362
10054114,9378740
6148028,4827160
11269304,10823526
9419163,8071482
9260232,4444643
9582555,10109243
11657952,11430180
8480011,11316844
7512194,4425507
11204785,9476568
8477244,9660518
11434078,6227086
3454650,4158286
10292413,11476634
6288413,6349086
1358655,11637913
11523529,6201887
2400816,1542173
6575681,3324481
6893880,7473000
5330177,880572
8515941,9255467
6208689,5148986
7580427,3127237
7224996,7333796
3215223,8205545
9865607,9264317
8581039,3098513
10048227,5415730
9620520,8148954
11036971,9252063
9638803,3132502
7354296,9769385
11790463,9220039
11709531,1659035
11390526,5407003
11446310,6861359
10850886,8718359
11093958,3530440
11533723,1465110
10966010,11436708
10960489,5015257
10179061,5076916
8579758,8202151
5414329,8462723
10129860,3451237
11109462,10136621
5912189,8926383
10618744,1958326
9629205,11660431
4670754,4645677
4838194,11320368
4820084,10820948
11701173,7917837
8792238,9328275
11092753,11462920
9149607,1111677
10924038,1988374
11440100,9108324
10968594,10826638
10934429,11634841
10965749,7285371
9705951,8445814
11021577,11441383
11063703,3593000
10488145,7938765
11314358,7958046
6161555,6245025
8737732,1355485
11581468,3579475
10831184,3704700
9558077,7843327
6358032,1585836
5066236,8201592
11486950,4266687
6225719,8964697
11251587,6007839
6276463,11380725
11695393,9499034
11294560,5228186
8530974,5157754
7698189,11241699
11543420,8850250
3791287,9953648
9745833,7888750
8444282,4712094
11358721,6676699
9253298,11611813
10975622,9343063
8406861,11396822
11490025,4575211
10407703,10959442
9917828,9634274
11237879,11295000
7414418,10314389
11788350,8696989
11462098,5588559
9535289,9609707
11379206,10631330
11622323,8605401
11381733,4863995
6235182,11382048
11508047,10863053
9052160,6218684
6169564,11525519
6092131,6238598
11407217,8393165
11676767,11419038
11200482,7195529
11424419,9537546
11296022,3162296
10005021,7270036
7295488,10998630
11485159,2630302
6071417,2792967
11565047,10920986
11754864,10282759
4843685,3119826
11259642,10982198
6563118,9339773
6175660,11427285
11498226,5971190
8459609,9739382
1600113,1886099
10988221,2112664
9237573,4588332
11161548,5447414
6244551,11172480
11232575,11625397
6206269,5776177
9618229,9320615
8595766,10733036
11387775,96177
11089357,4464487
11543448,1984499
8629927,3384448
11487924,886913
9941643,5809097
11370710,3734754
11422632,5374501
2463520,10589759
6974496,10596561
10346943,6450933
11687299,11253244
6720875,7998400
11682937,4938901
11740796,7736873
8760236,8555529
6449826,1693072
5479230,10245972
8984048,4950499
11211683,1618744
11265272,5309624
9187797,719363
6468464,4243883
3631513,8034839
10335977,1284603
9175877,4615114
8096203,11526154
11785738,9392555
11545993,10332027
11688375,11192682
6205989,3272810
11363279,1716581
2394798,9368436
3560675,4307806
11734711,11527918
5837402,8120737
11332366,4585014
11368016,10420868
10559838,10378127
9903998,11658835
11602997,5994751
6205977,8550717
9162404,9879482
5626457,9867748
11366877,10767109
11516739,2599172
11389077,10694949
2062728,5825301
11285767,3199425
6741653,8028130
9385708,2594474
3932130,8523971
6215864,11086315
11163519,11244177
11341848,9967697
10614145,11257507
10935913,4163896
11624285,10936211
8926756,11609170
11789612,11609348
1263524,11034366
8445247,11455132
11705620,10005580
10608302,10905310
8276065,11057217
11545435,11181199
5243447,11176988
10640053,10400762
8754666,9001087
8901007,11738468
3568042,2736185
11121904,1528130
10012769,10366848
6076100,7027890
10829107,6983627
4714370,4601387
6083002,11148233
6101364,11337426
6119859,10712981
11403031,11060066
10291883,11080429
4449483,11579577
11122833,8574733
6448155,11499094
4451364,8953253
10734416,8357126
11351612,4977870
6945130,5387021
10809406,4502944
10983142,11450680
2975004,3179005
10336302,5944759
10645103,4689778
11235681,5270939
9005500,7746116
8758187,5362946
11670372,10812496
11196163,4543737
11476611,2047963
7978323,11303940
2207415,6540381
6972457,4821695
11697856,845676
11098087,2489540
3082939,10013098
4355005,9155067
11465822,10520663
10381000,2030991
10994266,5077629
11331595,5262193
3260193,4453214
6218200,2918886
11552028,4676006
11380202,960001
9064770,3560555
10974006,5315356
11454881,5567800
11721682,7562338
5842438,9485045
3998866,5636868
3184249,11442041
11245223,7393704
11632729,4639403
6929885,10910768
11637508,3577915
11447227,8165547
6684459,2912886
11533289,11405738
11579808,6366626
11516706,10163440
8388108,8351545
10789043,1665868
6267596,1904799
11788380,2144662
11294517,10663856
11247135,9844077
11371236,7802558
11198691,8999833
9972053,11334213
6059861,4949522
10292891,8563825
10964351,11241050
11481418,3872072
11428142,9490393
11727534,9935979
11430476,8711820
10311581,3436790
11475849,1543079
11147894,8941051
11031205,3627825
9238201,9094948
8018387,10772056
11544300,6667874
11272358,9261143
11034723,2788907
6477311,5324521
6232747,2895155
6215889,10974075
7829331,8774441
3824759,9425813
11482723,10600027
10672647,11469505
11686744,11469503
10446641,11469716
9141325,6456817
11540436,10713812
11453043,7728462
9918671,4871066
6244323,6224973
9819584,11562928
8816781,4944280
11384376,1535202
9908584,3629630
11569314,10374806
11056169,11296397
11428889,4596144
10378378,9261194
9043343,6761332
7545331,7133281
2469415,10214879
3570869,10305527
2902834,10589205
10651368,9532226
9819815,3731546
11769385,9801268
2008653,3105767
11378354,11296313
11226989,8033845
11246633,10087106
11197371,4171252
11333882,2879786
11455069,1202251
3872584,5991789
8223680,3490498
6575045,8845204
11665245,8865634
11796021,2704140
10874235,3921671
11594119,9254012
10822352,8155311
2537751,8121977
7971400,11479504
10707155,5497565
11618960,10393187
10901616,7731424
8149553,6698005
5630262,5232991
8535329,10263372
10528950,11207121
11267456,2936425
10977561,6410636
6714911,10713695
11735243,11005148
6194198,11289652
8457266,10788949
11327950,10072792
11385077,11396132
7673927,11381304
8228227,9822399
380155,10284706
8296481,7927365
11609485,10769327
10947031,1971428
10293595,7231090
11072990,6696289
10050158,8659015
11498611,10830595
10963395,11427684
10790690,7573683
11374443,10727812
11725033,10470164
9487888,8332311
10536805,10429405
11272885,2826812
11543381,1009410
11440126,1203292
11781183,4774197
11735738,5951718
10041262,6772385
11413130,8952360
11647135,2166687
7480885,7211485
10408590,9341359
11433333,11153228
11251547,4470315
9143551,8234190
8062841,10210979
10948296,10205785
8821251,8120120
6008627,1638328
6068555,10692822
4428199,2622273
11007742,10262655
10061100,3650544
9593343,6928398
10877119,11259820
11370155,3758114
10731900,10944617
8878012,11029069
11236209,8048296
8651995,9563513
11543154,3643557
6212603,5954672
6088315,9448122
9569534,11635108
11467977,7675260
11467852,8179687
11414541,8012118
11398378,10729906
8313546,6433428
7210359,8929007
6145284,4126138
11221758,4246481
8417709,10929206
11319010,10173845
9576531,10956569
1920537,1308501
11212744,1566880
11328457,1906411
11275312,2113726
7483584,8822081
7751125,9030424
8334814,4256901
5945817,4203564
8678946,9562809
11455460,11310770
11674559,10234546
11134065,10436377
2439874,11375577
11356710,10965110
10415328,9482843
8677423,8636173
4713996,11087559
10014520,7991970
5996632,2705269
11776611,188896
3704131,6003879
11790897,8434160
5250875,7191225
6477822,6623927
11755983,8020126
11504953,4557001
2282002,10031737
5414388,2458598
8894640,9087881
9513165,11356743
5771447,11421201
11640901,9097646
9068829,4271684
11635099,11404304
7296774,10913293
8886424,7961978
6218208,10912207
9574159,10948235
8093246,3863318
11218822,11551707
11797126,11099207
8904043,2032077
11484863,5727254
5551835,5412746
6195072,10377049
11292688,2143970
7192283,9482449
11193587,10431414
7879122,2535536
6659062,4721337
9534557,11254199
10273973,11106288
11164058,5317395
11439636,8844380
11383842,11523189
11428846,4902646
9308706,8299243
9601595,2567120
11764595,4384406
11545667,401536
11098758,9742715
8518006,2070632
6462027,868422
10933793,7615119
10942786,10646172
11352327,8695995
11520739,11308512
9314935,3785224
10612920,7064099
11668475,10316642
7307619,7848578
11240193,10471324
11520439,6977803
11496658,1421417
11544986,10868207
11561917,8842473
4614194,5126797
8284634,4124313
11484603,9554529
5117035,9895940
11191336,7690621
5478556,3249744
3571736,9318152
11732377,4394033
11721494,9827587
11344157,9997582
8819484,9202102
10715594,9222003
9646874,7469660
9702167,9815798
6578594,8119165
8864266,9024501
8968999,11077923
8717919,9774629
6644483,10789270
7731230,11414309
10497546,11551747
6138114,7985686
1612872,3527783
11782958,8035772
9530099,1231692
11227689,851208
4175081,10302395
